,equity
2025-01-03,5000.0
2025-01-06,5101.562747697223
2025-01-07,5079.608391682813
2025-01-08,5135.386496554765
2025-01-10,5202.2099662196215
2025-01-13,5218.412341445093
2025-01-14,5246.664378946536
2025-01-15,5302.270396184579
2025-01-16,5329.903622120004
2025-01-17,5359.520261772875
2025-01-21,5457.929787665562
2025-01-22,5527.829916636507
2025-01-23,5552.995149318526
2025-01-24,5564.513873759967
2025-01-27,5474.549051193093
2025-01-28,5683.13014989753
2025-01-29,5709.778894316642
2025-01-30,5669.748741353398
2025-01-31,5732.284390302729
2025-02-03,5746.080655460961
2025-02-04,5773.986386309063
2025-02-05,5767.097139203943
2025-02-06,5842.32689490694
2025-02-07,5927.386539911293
2025-02-10,5907.653383890558
2025-02-11,5889.102788609616
2025-02-12,5886.560751008877
2025-02-13,5969.1144888929175
2025-02-14,5992.712669754441
2025-02-18,6096.1176712903125
2025-02-19,6125.100256046778
2025-02-20,6150.250979637009
2025-02-21,6136.2586159273615
2025-02-24,6140.775502591239
2025-02-25,6205.4275936517415
2025-02-26,6277.411161185528
2025-02-27,6228.585651257285
2025-02-28,6253.2426373206745
2025-03-03,6290.438595345729
2025-03-04,6154.411409485916
2025-03-05,6185.190248716118
2025-03-06,6316.886813294648
2025-03-07,6378.173966703593
2025-03-10,6318.754565684173
2025-03-11,6397.664286351841
2025-03-12,6476.905215240615
2025-03-13,6380.558673868853
2025-03-14,6395.808367205352
2025-03-17,6459.736415407728
2025-03-18,6554.534009318952
2025-03-19,6529.827891111807
2025-03-20,6577.363040949753
2025-03-21,6677.69352050471
2025-03-24,6735.227972072226
2025-03-25,6742.376143485389
2025-03-26,6901.954162191029
2025-03-27,6910.195523515447
2025-03-28,6929.794422787686
2025-03-31,6997.043711705717
2025-04-01,7040.352349981231
2025-04-02,7100.216073032703
2025-04-03,7248.72453027989
2025-04-04,7332.205246659328
2025-04-07,7442.861839456244
2025-04-08,7509.304260850849
2025-04-09,7456.32286784563
2025-04-10,7678.56584162456
2025-04-11,7617.627973675419
2025-04-14,7628.153537810879
2025-04-15,7670.689817439124
2025-04-16,7810.60166694476
2025-04-17,7867.773249692215
2025-04-21,8071.805117672187
2025-04-22,8170.9661662927465
2025-04-23,8148.337309448873
2025-04-24,8301.921828431055
2025-04-25,8364.023485031088
2025-04-28,8426.941397899453
2025-04-29,8454.508113235355
2025-04-30,8473.864667602013
2025-05-01,8614.373388328473
2025-05-02,8693.163032073007
2025-05-05,8848.537775867428
2025-05-06,8862.304584192298
2025-05-07,9001.688808467932
2025-05-08,9049.303057712492
2025-05-09,9180.374205372664
2025-05-12,9299.085501187437
2025-05-13,9438.05581151557
2025-05-14,9565.078360811738
2025-05-15,9900.989640357173
2025-05-16,9916.1466602555
2025-05-19,9859.254044015843
2025-05-20,9840.749533738144
2025-05-21,10008.076379886596
2025-05-22,10090.114464217348
2025-05-23,10182.07903917247
2025-05-27,10377.486596919056
2025-05-28,10478.832390120686
2025-05-29,10577.77090903293
2025-05-30,10655.100250278954
2025-06-02,10683.092859978964
2025-06-03,10755.487917754208
2025-06-04,10809.334023747542
2025-06-05,10846.77961738582
2025-06-06,10952.459647174923
2025-06-09,11139.878946179346
2025-06-10,11249.57363578655
2025-06-11,11530.383587436807
2025-06-12,11589.795094510155
2025-06-13,11641.611301864288
2025-06-16,11838.450425294914
2025-06-17,11923.326148460956
2025-06-18,11983.56109563396
2025-06-20,12009.30026844403
2025-06-23,12132.14199496002
2025-06-24,12225.410133647974
2025-06-25,12386.750007462097
2025-06-26,12548.063733481695
2025-06-27,12667.33576469733
2025-06-30,12734.075941026167
2025-07-01,12842.405524736756
2025-07-02,12915.850446648501
2025-07-03,12898.672188418284
2025-07-07,12903.205632825022
2025-07-08,13007.268510140562
2025-07-09,13095.881549550662
2025-07-10,13261.355891687765
2025-07-11,13373.20291032384
2025-07-14,13385.16621428691
2025-07-15,13510.975330499785
2025-07-16,13579.265501218391
2025-07-17,13752.209094305985
2025-07-18,13895.802902130326
2025-07-21,14029.619213601727
2025-07-22,14110.839573983816
2025-07-23,14246.287198427608
2025-07-24,14450.478841984292
2025-07-25,14744.303455608611
2025-07-28,14936.549793982476
2025-07-29,14961.91818282454
2025-07-30,14966.068163665119
2025-07-31,15326.026473476306
2025-08-01,15704.735796182802
2025-08-04,15965.818125255006
2025-08-05,15893.18682072071
2025-08-06,16161.487192964063
2025-08-07,16160.238497353886
2025-08-08,16115.203069025114
2025-08-11,16313.945812531532
2025-08-12,16388.810536983816
2025-08-13,16452.290854181178
2025-08-14,16688.692129930852
2025-08-15,16827.61437441087
2025-08-18,16936.592501136212
2025-08-19,17084.627147266663
2025-08-20,17077.88171072036
2025-08-21,17128.91712644243
2025-08-22,17258.586167981368
2025-08-25,17309.223258815255
2025-08-26,17451.956074981495
2025-08-27,17670.156626332082
2025-08-28,17824.929911101117
2025-08-29,17937.09819071
2025-09-02,17997.569195642227
2025-09-03,18264.881188004954
2025-09-04,18417.999409653912
2025-09-05,18588.092553207724
2025-09-08,18736.37370009727
2025-09-09,19080.68650830492
2025-09-10,19255.27474755632
2025-09-11,19416.943040295395
2025-09-12,19214.006709097524
2025-09-15,19279.20524658178
2025-09-16,19435.536199544735
2025-09-17,19520.893457821603
2025-09-18,19527.021039433606
2025-09-19,19964.459906590626
2025-09-22,20096.140158276074
2025-09-23,20260.878464089325
2025-09-24,20648.799197858127
2025-09-25,20970.210794874525
2025-09-26,21283.652469623383
2025-09-29,21442.5412802724
2025-09-30,21556.49961166792
